accx,accy,accz,gyrx,gyry,gyrz,anglex,angley,anglez,magx,magy,magz
-0.1020000000,0.0240000000,-1.0000000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-418,210,238
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,208,236
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,-0.0034906585,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-423,212,237
-0.1040000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-423,212,232
-0.1040000000,0.0240000000,-0.9980000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-424,210,236
-0.1030000000,0.0240000000,-0.9980000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,211,237
-0.1030000000,0.0240000000,-0.9980000000,-0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-426,209,238
-0.1030000000,0.0240000000,-0.9990000000,-0.0017453293,-0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,208,237
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0034906585,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-424,210,234
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,210,237
-0.1030000000,0.0240000000,-1.0000000000,-0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,208,238
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0034906585,0.1031489588,3.1166344453,2.3160519174,-419,211,237
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0034906585,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-424,211,238
-0.1030000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-424,210,238
-0.1020000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-419,213,234
-0.1020000000,0.0250000000,-1.0000000000,-0.0017453293,-0.0034906585,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-420,210,237
-0.1030000000,0.0240000000,-1.0000000000,-0.0017453293,-0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,206,232
-0.1030000000,0.0240000000,-1.0010000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,210,236
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-419,211,236
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-423,210,234
-0.1040000000,0.0240000000,-0.9980000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,208,235
-0.1030000000,0.0250000000,-0.9990000000,-0.0017453293,-0.0034906585,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,209,234
-0.1030000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,212,235
-0.1030000000,0.0250000000,-0.9990000000,0.0017453293,0.0052359878,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,214,234
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,215,226
-0.1020000000,0.0230000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-423,210,236
-0.1020000000,0.0230000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,211,235
-0.1020000000,0.0230000000,-0.9990000000,0.0017453293,0.0000000000,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-427,214,232
-0.1020000000,0.0230000000,-0.9990000000,0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,212,235
-0.1020000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-424,211,235
-0.1020000000,0.0240000000,-0.9990000000,0.0000000000,0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,210,236
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,0.0017453293,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-420,215,237
-0.1030000000,0.0250000000,-1.0000000000,-0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-418,211,235
-0.1030000000,0.0250000000,-1.0000000000,-0.0034906585,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-425,211,234
-0.1030000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,211,235
-0.1040000000,0.0250000000,-0.9990000000,0.0000000000,-0.0034906585,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-419,211,238
-0.1040000000,0.0260000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-419,211,238
-0.1030000000,0.0250000000,-1.0000000000,-0.0017453293,0.0000000000,-0.0034906585,0.1031489588,3.1168089782,2.3160519174,-421,209,240
-0.1030000000,0.0240000000,-1.0000000000,0.0000000000,-0.0034906585,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-423,208,237
-0.1030000000,0.0240000000,-0.9990000000,0.0017453293,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-424,209,238
-0.1030000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-420,210,235
-0.1040000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-424,215,241
-0.1040000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1168089782,2.3160519174,-420,208,234
-0.1030000000,0.0250000000,-0.9990000000,0.0000000000,-0.0017453293,0.0000000000,0.1031489588,3.1168089782,2.3160519174,-421,212,237
-0.1030000000,0.0250000000,-1.0000000000,-0.0017453293,0.0017453293,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,212,237
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-420,209,235
-0.1030000000,0.0250000000,-1.0010000000,0.0000000000,0.0000000000,-0.0017453293,0.1031489588,3.1166344453,2.3160519174,-421,212,234
-0.1030000000,0.0250000000,-1.0010000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-417,210,234
-0.1030000000,0.0250000000,-1.0000000000,-0.0017453293,-0.0017453293,-0.0034906585,0.1031489588,3.1166344453,2.3160519174,-417,210,234
-0.1040000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0017453293,0.1031489588,3.1166344453,2.3160519174,-417,210,238
-0.1040000000,0.0260000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,213,237
-0.1030000000,0.0260000000,-1.0000000000,0.0000000000,0.0034906585,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-417,212,235
-0.1030000000,0.0260000000,-1.0000000000,-0.0017453293,-0.0034906585,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-417,212,235
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-423,216,237
-0.1030000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1031489588,3.1166344453,2.3160519174,-421,213,237
