accx,accy,accz,gyrx,gyry,gyrz,anglex,angley,anglez,magx,magy,magz
-0.1000000000,0.0240000000,-0.9990000000,0.0000000000,-0.0017453293,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-418,209,240
-0.1000000000,0.0240000000,-1.0000000000,-0.0017453293,0.0000000000,0.0017453293,0.0989601686,3.1166344453,2.3230332344,-418,212,234
-0.1000000000,0.0240000000,-1.0000000000,0.0000000000,-0.0034906585,-0.0017453293,0.0989601686,3.1166344453,2.3230332344,-419,209,238
-0.1000000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-419,206,239
-0.0990000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-420,208,241
-0.0990000000,0.0250000000,-1.0000000000,0.0034906585,0.0000000000,-0.0017453293,0.0989601686,3.1166344453,2.3230332344,-419,208,237
-0.0990000000,0.0250000000,-1.0000000000,-0.0017453293,0.0017453293,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-421,210,237
-0.0980000000,0.0250000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-420,206,236
-0.0980000000,0.0240000000,-1.0000000000,-0.0034906585,-0.0017453293,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-418,208,236
-0.0980000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,-0.0017453293,0.0989601686,3.1166344453,2.3230332344,-418,210,235
-0.0980000000,0.0250000000,-1.0000000000,-0.0017453293,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-417,210,237
-0.0990000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0034906585,0.0989601686,3.1166344453,2.3230332344,-424,208,239
-0.0990000000,0.0250000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-420,208,235
-0.0980000000,0.0240000000,-0.9990000000,-0.0017453293,0.0000000000,-0.0017453293,0.0989601686,3.1166344453,2.3230332344,-422,209,241
-0.0980000000,0.0240000000,-0.9990000000,0.0017453293,0.0017453293,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-417,208,240
-0.0980000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0017453293,0.0989601686,3.1166344453,2.3230332344,-421,208,236
-0.0980000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-417,210,236
-0.0990000000,0.0240000000,-1.0000000000,-0.0017453293,0.0000000000,0.0017453293,0.0989601686,3.1168089782,2.3230332344,-420,210,238
-0.0990000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1168089782,2.3230332344,-417,212,240
-0.0990000000,0.0240000000,-0.9990000000,0.0000000000,-0.0034906585,-0.0017453293,0.0989601686,3.1168089782,2.3230332344,-415,208,237
-0.0990000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0034906585,0.0989601686,3.1168089782,2.3230332344,-421,207,238
-0.0990000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-422,211,237
-0.0990000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,-0.0017453293,0.0989601686,3.1166344453,2.3230332344,-417,209,235
-0.0990000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-422,210,239
-0.0980000000,0.0240000000,-0.9990000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1166344453,2.3230332344,-423,210,239
-0.0980000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0989601686,3.1168089782,2.3230332344,-420,210,237
-0.0980000000,0.0240000000,-1.0000000000,0.0000000000,0.0000000000,-0.0017453293,0.0989601686,3.1168089782,2.3230332344,-420,210,235
